SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
410,Bitcoin,BTC,9/20/2016 23:59,609.5250244,607.9379883,609.2540283,608.3120117,72710896,9659269452
411,Bitcoin,BTC,9/21/2016 23:59,603.5880127,595.8829956,603.5880127,597.1489868,82776200,9483211005
412,Bitcoin,BTC,9/22/2016 23:59,598.4869995,596.2130127,597.2789917,596.2979736,67085300,9470698215
413,Bitcoin,BTC,9/23/2016 23:59,603.2050171,595.7860107,596.1989746,602.84198,51067000,9575631549
414,Bitcoin,BTC,9/24/2016 23:59,604.5800171,602.0449829,602.9609985,602.625,35359500,9573385118
415,Bitcoin,BTC,9/25/2016 23:59,603.3809814,599.7109985,602.7490234,600.8259888,33977800,9546132575
416,Bitcoin,BTC,9/26/2016 23:59,608.1430054,600.348999,600.8070068,608.0430298,59153800,9661922446
417,Bitcoin,BTC,9/27/2016 23:59,608.2479858,604.1099854,608.0219727,606.1660156,49422400,9633311305
418,Bitcoin,BTC,9/28/2016 23:59,606.5900269,604.6069946,606.242981,604.7280273,48722600,9611532319
419,Bitcoin,BTC,9/29/2016 23:59,606.8239746,604.8480225,605.0189819,605.6929932,55658600,9627902106
420,Bitcoin,BTC,9/30/2016 23:59,609.7349854,604.1420288,605.7150269,609.7349854,56122400,9693198750
421,Bitcoin,BTC,10/1/2016 23:59,615.2369995,609.9290161,609.9290161,613.9829712,56357000,9761887632
422,Bitcoin,BTC,10/2/2016 23:59,614.0050049,609.6820068,613.947998,610.8920288,39249800,9713776587
423,Bitcoin,BTC,10/3/2016 23:59,612.5679932,610.4550171,610.9680176,612.1329956,46798300,9734618878
424,Bitcoin,BTC,10/4/2016 23:59,612.0540161,609.4790039,612.052002,610.2039795,49801600,9705099355
425,Bitcoin,BTC,10/5/2016 23:59,613.8140259,609.6170044,610.2180176,612.5109863,68077504,9743018924
426,Bitcoin,BTC,10/6/2016 23:59,613.8189697,611.4689941,612.4699707,613.0209961,56812100,9752315689
427,Bitcoin,BTC,10/7/2016 23:59,617.9119873,611.8209839,612.6079712,617.1209717,64071400,9818599994
428,Bitcoin,BTC,10/8/2016 23:59,619.848999,617.3410034,617.3410034,619.1079712,42345900,9851461946
429,Bitcoin,BTC,10/9/2016 23:59,619.197998,616.6069946,619.1719971,616.7520142,39243400,9815156618
430,Bitcoin,BTC,10/10/2016 23:59,621.3179932,616.1970215,616.8220215,618.9940186,67481104,9851764897
431,Bitcoin,BTC,10/11/2016 23:59,642.0800171,618.5,619.2379761,641.0720215,103590000,10204214839
432,Bitcoin,BTC,10/12/2016 23:59,641.3369751,635.9650269,640.8709717,636.1920166,92370200,10127644784
433,Bitcoin,BTC,10/13/2016 23:59,638.8330078,635.0289917,636.0300293,636.7860107,61620700,10138078870
434,Bitcoin,BTC,10/14/2016 23:59,641.2849731,637.0079956,637.0079956,640.3779907,58144600,10196303437
435,Bitcoin,BTC,10/15/2016 23:59,642.1019897,637.3900146,640.3109741,638.6459961,39035400,10169814232
436,Bitcoin,BTC,10/16/2016 23:59,642.8980103,638.901001,639.0830078,641.6309814,40298100,10218348388
437,Bitcoin,BTC,10/17/2016 23:59,642.3280029,638.6630249,641.8179932,639.1929932,58063600,10180488274
438,Bitcoin,BTC,10/18/2016 23:59,640.7360229,635.9959717,639.4110107,637.960022,65546700,10162029114
439,Bitcoin,BTC,10/19/2016 23:59,638.8740234,628.0130005,638.1339722,630.5200195,69381696,10044471117
440,Bitcoin,BTC,10/20/2016 23:59,631.9169922,628.2579956,630.6630249,630.8569946,56957300,10050854099
441,Bitcoin,BTC,10/21/2016 23:59,634.0939941,630.6939697,630.8250122,632.8280029,55951000,10083501603
442,Bitcoin,BTC,10/22/2016 23:59,658.1970215,632.8499756,633.1359863,657.2940063,78556496,10474463658
443,Bitcoin,BTC,10/23/2016 23:59,661.1290283,653.8859863,657.6209717,657.0709839,54474600,10472100602
444,Bitcoin,BTC,10/24/2016 23:59,657.2520142,652.5949707,657.1610107,653.7609863,62218200,10420469172
445,Bitcoin,BTC,10/25/2016 23:59,664.4240112,653.697998,654.0020142,657.5880127,90378800,10482565592
446,Bitcoin,BTC,10/26/2016 23:59,679.7280273,657.6779785,657.6779785,678.3040161,88877104,10813913071
447,Bitcoin,BTC,10/27/2016 23:59,688.5939941,678.039978,678.2139893,688.3129883,96105296,10974828655
448,Bitcoin,BTC,10/28/2016 23:59,690.4439697,684.1619873,688,689.651001,81145504,10997420362
449,Bitcoin,BTC,10/29/2016 23:59,720.4019775,690.052002,690.2890015,714.4790039,134760992,11394596830
